2,DRUNK-90Z-1,DRUNK - DRUNK/PROFANE IN PUBLIC,4/10/25,1633,6100 ARLINGTON BLVD,FALLS CHURCH,VA,22044
1,SUSP-1,SUSPICIOUS - EVENT,4/10/25,1100,6500 QUANDER RD,ALEXANDRIA,VA,22307
2,SERV-45,SRO RELATED EVENT,4/10/25,1100,6500 QUANDER RD,ALEXANDRIA,VA,22307
1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,4/10/25,1546,7700 LEESBURG PIKE,FALLS CHURCH,VA,22043
1,SERV-8,SERVICE - LOST/FOUND PROPERTY,4/10/25,800, BRADDOCK CREEK RD / LITTLE ROCKY RUN CIR,CENTREVILLE,VA,20121
1,ASSLT-13C-3,THREATS - TELEPHONE THREATS/ABUSE/OBSCENE,4/10/25,1644,6400 GILDER ST,ALEXANDRIA,VA,22310
1,SERV-8,SERVICE - LOST/FOUND PROPERTY,4/10/25,1727,1800 CAMERON GLEN DR,RESTON,VA,20190
1,SERV-33,SERVICE - NON DMV REPORTABLE CRASH,4/10/25,1700,5900 COVE LANDING RD,BURKE,VA,22015
1,SUSP-1,SUSPICIOUS - EVENT,4/10/25,1400,8400 OLD KEENE MILL RD,SPRINGFIELD,VA,22152
1,ASSLT-13C-1,ASSAULT - INTIMIDATION,4/10/25,1721,8400 OLD COURTHOUSE RD,VIENNA,VA,22182
1,SERV-29,SERVICE - DOMESTIC DISPUTE,4/10/25,1631,6800 FLEETWOOD RD,MCLEAN,VA,22101
1,LARC-23-3,LARCENY - SHOPLIFTING,4/10/25,1632,7100 COLUMBIA PIKE,ANNANDALE,VA,22003
3,DRUNK-90Z-1,DRUNK - DRUNK/PROFANE IN PUBLIC,4/10/25,1632,7100 COLUMBIA PIKE,ANNANDALE,VA,22003
2,TRES-90J-1,TRESPASSING - PRIVATE PROPERTY,4/10/25,1632,7100 COLUMBIA PIKE,ANNANDALE,VA,22003
1,LARC-23-4,LARCENY - THEFT FROM BUILDING,4/10/25,1400,1900 RESTON METRO PLZ,RESTON,VA,20190
1,LARC-23-4,LARCENY - THEFT FROM BUILDING,4/10/25,1400,1900 RESTON METRO PLZ,RESTON,VA,20190
2,DEST-290-2,DESTRUCTION - PRIVATE PROPERTY,4/10/25,1709,6600 WAKEFIELD DR,ALEXANDRIA,VA,22307
1,AUTO-240-6,AUTO THEFT - OTHER VEHICLES,4/10/25,1709,6600 WAKEFIELD DR,ALEXANDRIA,VA,22307
1,SERV-33,SERVICE - NON DMV REPORTABLE CRASH,4/10/25,1547,2400 THOMAS JEFFERSON DR,HERNDON,VA,20171
1,ANML-3,ANIMAL - SERVICE - DOMESTIC,4/10/25,1659,7600 RICHMOND HWY,ALEXANDRIA,VA,22306
1,TRES-90J-1,TRESPASSING - PRIVATE PROPERTY,4/10/25,1631,2300 COLTS NECK RD,RESTON,VA,20191
2,LARC-23-3,LARCENY - SHOPLIFTING,4/10/25,1626,4200 ANNANDALE RD,ANNANDALE,VA,22003
1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,4/10/25,1626,4200 ANNANDALE RD,ANNANDALE,VA,22003
1,LARC-23-3,LARCENY - SHOPLIFTING,4/10/25,1824,3500 SOUTH JEFFERSON ST,FALLS CHURCH,VA,22041
1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,4/10/25,1804,6300 DAKINE CIR,SPRINGFIELD,VA,22150
1,LARC-23-3,LARCENY - SHOPLIFTING,4/10/25,1739,5900 RICHMOND HWY,ALEXANDRIA,VA,22303
1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,4/10/25,1230,12300 ROUTE 50,FAIRFAX,VA,22033
1,SERV-1,SERVICE - POLICE SERVICE,4/10/25,1752, BRADDOCK RD / SIDEBURN RD,FAIRFAX,VA,22032
1,SERV-37,SERVICE - MISSING JUVENILE,4/10/25,1840,6800 METROPOLITAN CENTER DR,SPRINGFIELD,VA,22150
1,LARC-23-4,LARCENY - THEFT FROM BUILDING,4/10/25,1853,3300 WOODEN VALLEY CT,ALEXANDRIA,VA,22310
1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,4/10/25,1821,12100 GOVERNMENT CENTER PKWY,FAIRFAX,VA,22030
1,LARC-23-3,LARCENY - SHOPLIFTING,4/10/25,1848,1900 CHAIN BRIDGE RD,MCLEAN,VA,22102
1,DEST-290-2,DESTRUCTION - PRIVATE PROPERTY,4/10/25,1831,5200 CLIFTON ST,ALEXANDRIA,VA,22312
1,LARC-23-7,LARCENY - THEFT OF MOTOR VEHICLE PARTS,4/10/25,1715,6400 SHIPLETT BLVD,BURKE,VA,22015
1,DEST-290-2,DESTRUCTION - PRIVATE PROPERTY,4/10/25,1825,13000 ROUTE 50,FAIRFAX,VA,22033
1,SERV-29,SERVICE - DOMESTIC DISPUTE,4/10/25,1807,7600 LONG PINE DR,SPRINGFIELD,VA,22151
1,SERV-2,SERVICE - CIVIL DISPUTE,4/10/25,1939,12500 SUNRISE VALLEY DR,RESTON,VA,20191
1,DEST-290-2,DESTRUCTION - PRIVATE PROPERTY,4/10/25,1933,5500 BACKLICK RD,SPRINGFIELD,VA,22151
1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,4/10/25,1903,5500 SEMINARY RD,FALLS CHURCH,VA,22041
1,SERV-29,SERVICE - DOMESTIC DISPUTE,4/10/25,1842,7600 ALLMAN DR,ANNANDALE,VA,22003
1,SERV-8,SERVICE - LOST/FOUND PROPERTY,4/10/25,600,7600 ANZIO LN,LORTON,VA,22079
